"","flag","situacao"
"356","BELA_VISTA_DO_TOLDO_SC","Ok"
"357","BELEM_PARA","Ok"
"358","BELEM_PARAIBA","Ok"
"359","BELEM_DE_SAO_FRANCISCO_PE","Ok"
"360","BELFORD_ROXO_RJ","Ok"
"361",NA,"Ok"
"362","BELO_HORIZONTE_MG","Ok"
"363","BELO_JARDIM_PE","Ok"
"364","BELO_MONTE_AL","Ok"
"365","BELTERRA_PARA","Ok"
"366","BENEDITO_NOVO_SC","Ok"
"367","BENEVIDES_PARA","Ok"
"368","BENJAMIN_CONSTANT_AMAZONAS","Ok"
"369","BENJAMIN_CONSTANT_DO_SUL_RS","Ok"
"370","BENTO_DE_ABREU_SP","Ok"
"371","BENTO_FERNANDES_RN","Ok"
"372","BENTO_GONCALVES_RS","Ok"
"373","BERNARDINO_BATISTA_PARAIBA","Ok"
"374","BERNARDINO_DE_CAMPOS_SP","Ok"
"375","BERNARDO_SAYAO_TO","Ok"
"376","BERTIOGA_SP","Ok"
"377","BERTOPOLIS_MG","Ok"
"378","BETIM_MG","Ok"
"379","BIGUACU_SC","Ok"
"380","BILAC_SP","Ok"
"381","BIRIGUI_SP","Ok"
"382","BIRITIBA-MIRIM_SP","Ok"
"383","BIRITINGA_BAHIA","Ok"
"384","BITURUNA_PR","Ok"
"385","BLUMENAU_SC","Ok"
"386","BOA_ESPERANCA_ES","Ok"
"387","BOA_ESPERANCA_DO_SUL_SP","Ok"
"388","BOA_SAUDE_RN","Ok"
"389","JANUARIO_CICCO_RN","Ok"
"390","BOA_VISTA_PARAIBA","Ok"
"391","BOA_VISTA_RORAIMA","Ok"
"392","BOA_VISTA_DAS_MISSOES_RS","Ok"
"393","BOA_VISTA_DO_BURICA_RS","Ok"
"394","BOA_VISTA_DO_CADEADO_RS","Ok"
"395","BOA_VISTA_DO_INCRA_RS","Ok"
"396","BOA_VISTA_DO_SUL_RS","Ok"
"397","BOCA_DA_MATA_AL","Ok"
"398","BOCAINA_SP","Ok"
"399","BOCAINA_DO_SUL_SC","Ok"
"400","BODO_RN","Ok"
"401","BODOQUENA_MT_DO_SOL","Ok"
"402","BOFETE_SP","Ok"
"403","BOITUVA_SP","Ok"
"404","BOMBINHAS_SC","Ok"
"405","BOM_DESPACHO_MG","Ok"
"406","BOM_JARDIM_MA","Ok"
"407","BOM_JARDIM_RJ","Ok"
"408","BOM_JARDIM_DA_SERRA_SC","Ok"
"409","BOM_JARDIM_DE_GOIAS_GOIAS","Ok"
"410","BOM_JESUS_RS","Ok"
"411","BOM_JESUS_SC","Ok"
"412","BOM_JESUS_DA_LAPA_BAHIA","Ok"
"413","BOM_JESUS_DAS_SELVAS_MA","Ok"
"414","BOM_JESUS_DO_ITAPABOANA_RJ","Ok"
"415","BOM_JESUS_DO_OESTE_SC","Ok"
"416","BOM_JESUS_DOS_PERDOES_SP","Ok"
"417","BOM_JESUS_DO_TO_PARA","Ok"
"418","BOM_PRINCIPO_RS","Ok"
"419","BOM_RETIRO_SC","Ok"
"420","BOM_RETIRO_DO_SUL_RS","Ok"
"421","BOM_SUCESSO_DE_ITARARE_SP","Ok"
"422","BONFIM_RORAIMA","Ok"
"423","BONFINOPOLIS_GOIAS","Ok"
"424","BONFINOPOLIS_DE_MINAS_MG","Ok"
"425","BONITO_MS","Ok"
"426","BONITO_PARA","Ok"
"427","BONITO_DE_SANTA_FE_PARAIBA","Ok"
"428","BOQUEIRAO_PARAIBA","Ok"
"429","BOQUEIRAO_DO_LEAO_RS","Ok"
"430","BOQUIM_SE","Ok"
"431",NA,"Ok"
"432","BORACEIA_SP","Ok"
"433","BORBOREMA_SP","Ok"
"434","BORDA_DA_MATA_MG","Ok"
"435","BOREBI_SP","Ok"
"436","BOSSOROCA_RS","Ok"
"437","BOTUCATU_SP","Ok"
"438","BOTUMIRIM_MG","Ok"
"439","BOTUVERA_SC","Ok"
"440","BOZANO_RS","Ok"
"441","BRACO_DO_NORTE_SC","Ok"
"442","BRACO_DO_TROMBUDO_SC","Ok"
"443","BRAGANCA_PARA","Ok"
"444","BRAGANCA_PAULISTA_SP","Ok"
"445","BRASILEIA_ACRE","Ok"
"446","BRASILANDIA_MS","Ok"
"447","BRASIL_NOVO_PARA","Ok"
"448","BRASOPOLIS_MG","Ok"
"449","BRAUNA_SP","Ok"
"450","BRAZLANDIA_DISTRITO_FEDERAL","Ok"
"451","BREJAO_PE","Ok"
"452","BREJO_ALEGRE_SP","Ok"
"453","BREJO_GRANDE_DO_ARAGUAIA_PARA","Ok"
"454","BREJO_SANTO_CE","Ok"
"455","BREU_BRANCO_PARA","Ok"
"456","BREVES_PARA","Ok"
"457","BRITANIA_GOIAS","Ok"
"458","BROCHIER_RS","Ok"
"459","BRODOWSKI_SP","Ok"
"460","BROTAS_SP","Ok"
"461","BRUMADO_BAHIA","Ok"
"462","BRUNOPOLIS_SC","Ok"
"463","BRUSQUE_SC","Ok"
"464","BUENO_BRANDAO_MG","Ok"
"465","BUIQUE_PE","Ok"
"466","BUJARI_ACRE","Ok"
"467","BUJARU_PARA","Ok"
"468","BURI_SP","Ok"
"469","BURITAMA_SP","Ok"
"470","BURITI_BRAVO_MA_","Ok"
"471","BURITICUPU_MA","Ok"
"472","BURITI_DO_TO_TO","Ok"
"473","BURITIS_RO","Ok"
"474",NA,"Ok"
"475","BURITIZEIRO_MG","Ok"
"476","BUTIA_RS","Ok"
"477","CAAPIRANGA_AMAZONAS","Ok"
"478","CAARAPO_MS","Ok"
"479","CAATIBA_BAHIA","Ok"
"480","CABACEIRAS_PARAIBA","Ok"
"481","CABACEIRAS_DO_PARAGUACU_BAHIA","Ok"
"482","CABEDELO_PARAIBA","Ok"
"483","CABO_FRIO_RJ","Ok"
"484","CABO_SANTO_AGOSTINHO_PE","Ok"
"485","CABRALIA_PAULISTA_SP","Ok"
"486","CABREUVA_SP","Ok"
"487","CACADOR_SC","Ok"
"488","CACAPAVA_SP","Ok"
"489","CACAULANDIA_RONDONIA","Ok"
"490","CACERES_MT","Ok"
"491","CACHOEIRA_BAHIA","Ok"
"492","CACHOEIRINHA_TO","Ok"
"493","CACHOEIRO_DE_ITAPEMIRIM_ES","Ok"
"494","CACHOEIRA_DE_MACACU_RJ","Ok"
"495","CACHOEIRA_DE_MINAS_MG","Ok"
"496","CACHOEIRA_DO_ARARI_PARA","Ok"
"497","CACHOEIRA_DO_PIRIA_PARA","Ok"
"498","CACHOEIRA_DO_SUL_RS","Ok"
"499","CACHOEIRA_PAULISTA_SP","Ok"
"500","CACHOEIRINHA_RS","Ok"
"501","CACIMBA_DE_DENTRO_PARAIBA","Ok"
"502","CACIMBAS_PARAIBA","Ok"
"503","CACIMBINHAS_AL","Ok"
"504","CACIQUE_DOBLE_RS","Ok"
"505","CACOAL_RONDONIA","Ok"
"506","CACONDE_SP","Ok"
"507","CAETANOPOLIS_MG","Ok"
"508","CAETITE_BAHIA","Ok"
"509","CAFEARA_PR","Ok"
"510","CAFELANDIA_PR","Ok"
"511","CAFELANDIA_SP","Ok"
"512","CAIABU_SP","Ok"
"513","CAIBAT<U+FFFD>_RS","Ok"
"514","CAIBI_SC","Ok"
"515","CAICARA_RS","Ok"
"516","CAICO_RN","Ok"
"517","CAIEIRAS_SP","Ok"
"518","CAIUA_SP","Ok"
"519","CAJAMAR_SP","Ok"
"520","CAJATI_SP","Ok"
"521","CAJAZEIRAS_PARAIBA","Ok"
"522","CAJOBI_SP","Ok"
"523","CAJURU_SP","Ok"
"524","CALCADO_PE","Ok"
"525","CALCOENE_AMAPA","Ok"
"526","CALDAS_NOVAS_GOIAS","Ok"
"527","CALDAS_BRANDAO_PARAIBA","Ok"
"528","CALMON_SC","Ok"
"529","CAMACAM_BAHIA","Ok"
"530","CAMALAU_PARAIBA","Ok"
"531","CAMANDUCAIA_MG","Ok"
"532","CAMAPUA_MS","Ok"
"533","CAMAQUA_RS","Ok"
"534","CAMARAGIBE_PE","Ok"
"535","CAMARGO_RS","Ok"
"536","CAMBARA_PR","Ok"
"537","CAMBARA_DO_SUL_RS","Ok"
"538","CAMBE_PR","Ok"
"539","CAMBORIU_SC","Ok"
"540","CAMBUCI_RJ","Ok"
"541","CAMBUI_MG","Ok"
"542","CAMETA_PARA","Ok"
"543","CAMOCIM_DE_SAO_FELIX_PE","Ok"
"544","CAMPESTRE_AL","Ok"
"545","CAMPESTRE_DA_SERRA_RS","Ok"
"546","CAMPINA_DAS_MISSOES_RS","Ok"
"547","CAMPINA_DO_MONTE_ALEGRE_SP","Ok"
"548","CAMPINA_GRANDE_PARAIBA","Ok"
"549","CAMPINA_GRANDE_DO_SUL_PR","Ok"
"550","CAMPINAS_SP","Ok"
"551","CAMPINAS_DO_PIAUI_PIAUI","Ok"
"552","CAMPINAS_DO_SUL_RS","Ok"
"553","CAMPO_ALEGRE_AL","Ok"
"554","CAMPO_ALEGRE_SC","Ok"
"555","CAMPO_BELO_DO_SUL_SC","Ok"
"556","CAMPO_BOM_RS","Ok"
"557","CAMPO_DO_MEIO_MG","Ok"
"558","CAMPO_ERE_SC","Ok"
"559","CAMPO_GRANDE_MS","Ok"
"560","CAMPO_LARGO_PR","Ok"
"561","CAMPO_LIMPO_DE_GOIAS_GOIAS","Ok"
"562","CAMPO_LIMPO_PAULISTA_SP","Ok"
"563","CAMPO_MAIOR_PIAUI","Ok"
"564","CAMPO_MOURAO_PR","Ok"
"565","CAMPO_NOVO_RS","Ok"
"566","CAMPO_NOVO_DE_RONDONIA_RONDONIA","Ok"
"567","CAMPO_NOVO_DO_PARECIS_MT","Ok"
"568","CAMPOS_BELOS,_GOIAS","Ok"
"569","CAMPOS_BORGES_RS","Ok"
"570","CAMPOS_DE_JULIO_MT","Ok"
"571","CAMPOS_DOS_GOYTACAZES_RJ","Ok"
"572","CAMPOS_DO_JORDAO_SP","Ok"
"573","CAMPOS_NOVOS_SC","Ok"
"574","CAMPOS_NOVOS_PAULISTA_SP","Ok"
"575","CANANEIA_SP","Ok"
"576","CAMPO_VERDE_MT","Ok"
"577","CANAA_DOS_CARAJAS_PARA","Ok"
"578","CAMPOS_NOVOS_PAULISTA_SP","Ok"
"579","CANANEIA_SP","Ok"
"580","CANARANA_MT","Ok"
"581","CANAS_SP","Ok"
"582","CANA_VERDE_MG","Ok"
"583","CANAVIEIRA_PIAUI","Ok"
"584","CANAVIEIRAS_BAHIA","Ok"
"585","CANDANGOLANDIA_DISTRITO_FEDERAL","Ok"
"586","CANDEIAS_MG","Ok"
"587","CANDELARIA_RS","Ok"
"588","CANDIDO_GODOI_RS","Ok"
"589","CANDIDO_MOTA_SP","Ok"
"590","CANDIDO_RODRIGUES_SP","Ok"
"591","CANDIOTA_RS","Ok"
"592","CANELA_RS","Ok"
"593","CANELINHA_SC","Ok"
"594","CANGUCU_RS","Ok"
"595","CANINDE_CE","Ok"
"596","CANITAR_SP","Ok"
"597","CANOAS_RS","Ok"
"598","CANOINHAS_SC","Ok"
"599","CANTA_RORAIMA","Ok"
"600","CANTAGALO_RJ","Ok"
"601","CANTANHEDE_MA","Ok"
"602","CANTO_DO_BURITI_PIAUI","Ok"
"603","CANUDOS_DO_VALE_RS","Ok"
"604","CAPANEMA_PARA","Ok"
"605","CAPANEMA_PR","Ok"
"606","CAPAO_ALTO_SC","Ok"
"607","CAPAO_BONITO_SP","Ok"
"608","CAPAO_BONITO_DO_SUL_RS","Ok"
"609","CAPAO_DA_CANOA_RS","Ok"
"610","CAPAO_DO_LEAO_RS","Ok"
"611","CAPELA_AL","Ok"
"612","CAPELA_DE_SANTANA_RS","Ok"
"613",NA,"Ok"
"614","CAPINZAL_SC","Ok"
"615","CAPITAO_RS","Ok"
"616","CAPITAO_POCO_PARA","Ok"
"617","CAPITAO_LEONIDAS_MARQUES_PR","Ok"
"618","CAPIVARI_SP","Ok"
"619","CAPIVARI_DE_BAIXO_SC","Ok"
"620","CAPIVARI_DO_SUL_RS","Ok"
"621","CAPIXABA_ACRE","Ok"
"622","CARAA_RS","Ok"
"623","CARACARAI_RORAIMA","Ok"
"624","CARACOL_MS","Ok"
"625","CARAGUATATUBA_SP","Ok"
"626","CARAMBEI_PR","Ok"
"627","CARANAIBA_MG","Ok"
"628","CARANGOLA_MG","Ok"
"629","CARAPEBUS_RJ","Ok"
"630","CARAPICUIBA_SP","Ok"
"631","CARATINGA_MG","Ok"
"632","CARAUARI_AMAZONAS","Ok"
